Train,Time,Direction,Weight(tons),Time buffer(mins)
00001,2016-05-05 20:29:54,Dic_A,4874,13
00002,2016-05-05 20:44:54,Dic_B,8262,16
00003,2016-05-05 20:47:54,Dic_B,6046,19
00004,2016-05-05 20:41:54,Dic_A,6201,13
00005,2016-05-05 20:31:54,Dic_A,8001,15
00006,2016-05-05 20:41:54,Dic_B,5964,13
00007,2016-05-05 20:59:54,Dic_A,5128,12
00008,2016-05-05 20:32:54,Dic_A,6374,15
00009,2016-05-05 20:59:54,Dic_B,6917,10
00010,2016-05-05 20:35:54,Dic_B,4808,14
00011,2016-05-05 20:50:54,Dic_A,5684,22
00012,2016-05-05 20:45:54,Dic_B,4492,17
