time_departure,delay(mins),X+Y(hours),Dos_time
2018-01-02 05:00:00,293,5,2018-01-02 00:00:00
2018-01-02 05:03:00,289,5,2018-01-02 00:00:00
2018-01-02 05:06:00,278,5,2018-01-02 00:00:00
2018-01-02 05:09:00,264,5,2018-01-02 00:00:00
2018-01-02 05:12:00,253,5,2018-01-02 00:00:00
2018-01-02 05:15:00,243,5,2018-01-02 00:00:00
2018-01-02 05:18:00,232,5,2018-01-02 00:00:00
2018-01-02 05:21:00,220,5,2018-01-02 00:00:00
2018-01-02 05:24:00,212,5,2018-01-02 00:00:00
2018-01-02 05:27:00,206,5,2018-01-02 00:00:00
2018-01-02 05:30:00,193,5,2018-01-02 00:00:00
2018-01-02 05:33:00,181,5,2018-01-02 00:00:00
2018-01-02 05:36:00,168,5,2018-01-02 00:00:00
2018-01-02 05:39:00,159,5,2018-01-02 00:00:00
2018-01-02 05:42:00,147,5,2018-01-02 00:00:00
2018-01-02 05:45:00,134,5,2018-01-02 00:00:00
2018-01-02 05:48:00,124,5,2018-01-02 00:00:00
2018-01-02 05:51:00,104,5,2018-01-02 00:00:00
2018-01-02 05:54:00,92,5,2018-01-02 00:00:00
2018-01-02 05:57:00,81,5,2018-01-02 00:00:00
2018-01-02 06:00:00,74,5,2018-01-02 00:00:00
2018-01-02 06:03:00,58,5,2018-01-02 00:00:00
2018-01-02 06:06:00,51,5,2018-01-02 00:00:00
2018-01-02 06:09:00,38,5,2018-01-02 00:00:00
2018-01-02 06:12:00,27,5,2018-01-02 00:00:00
